Name,Reduction_S,Reduction_D,Reduction_DS,Runtime,Runtime_S,Runtime_D,Runtime_DS
c432,0.0989010989010989,0.0,0.0989010989010989,0.66,0.67,0.69,0.66
c499,0.0,-0.04716981132075472,-0.04481132075471698,3.18,3.24,3.38,3.48
c880,0.0,0.026706231454005934,0.026706231454005934,4.21,4.29,4.1,4.09
c1355,0.403954802259887,0.005649717514124294,0.4096045197740113,0.61,0.62,0.63,0.61
c2670,0.0044943820224719105,0.03932584269662921,0.04943820224719101,33.15,32.25,31.45,31.46
c3540,0.033860045146726865,0.002257336343115124,0.029345372460496615,37.1,39.11,39.57,37.69
c6288,0.0,-0.14042553191489363,-0.14042553191489363,82.74,86.13,82.63,84.17
c7552,0.01594802126402835,0.02067336089781453,0.03307737743650325,212.5,214.62,214.07,214.8
