Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,58,7.837838,0.61,48,7.837838,0.83,0.1724137931034483
c499,235,90.794979,2.65,235,90.794979,2.7,0.0
c880,163,49.857414,3.0,163,49.857414,3.03,0.0
c1355,240,38.151137,0.81,238,38.151137,0.87,0.008333333333333333
c2670,471,92.269939,27.09,469,92.269939,26.11,0.004246284501061571
c3540,243,22.616941,35.7,241,22.616941,34.25,0.00823045267489712
c6288,157,97.323895,77.58,157,97.323895,73.56,0.0
c7552,875,97.995477,188.78,868,97.995477,182.45,0.008
