Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,82,6.846847,0.86,71,6.846847,0.96,0.13414634146341464
c499,377,90.753138,4.51,377,90.753138,5.73,0.0
c880,282,49.714829,6.81,282,49.714829,6.83,0.0
c1355,339,36.500367,1.02,291,36.500367,1.22,0.1415929203539823
c2670,772,92.223926,57.21,770,92.223926,44.63,0.0025906735751295338
c3540,399,22.402023,60.31,388,22.402023,56.59,0.02756892230576441
c6288,232,97.272099,141.3,232,97.272099,145.34,0.0
c7552,1494,97.92866,359.72,1469,97.92866,308.74,0.01673360107095047
