Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,91,6.846847,1.03,82,6.846847,1.06,0.0989010989010989
c499,424,91.046025,5.57,424,91.046025,5.73,0.0
c880,337,49.952471,6.25,337,49.952471,6.93,0.0
c1355,354,35.143067,0.98,211,35.143067,1.07,0.403954802259887
c2670,890,92.285276,54.76,886,92.285276,49.78,0.0044943820224719105
c3540,443,22.338812,43.39,428,22.338812,63.36,0.033860045146726865
c6288,235,97.214549,174.8,235,97.214549,151.07,0.0
c7552,1693,97.92352,421.06,1666,97.92352,279.41,0.01594802126402835
