Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,42,11.621622,0.46,42,11.621622,0.55,0.0
c499,133,92.343096,1.37,133,92.343096,1.4,0.0
c880,82,50.237643,1.6,82,50.237643,1.6,0.0
c1355,138,38.407924,0.72,138,38.407924,0.75,0.0
c2670,240,92.300613,11.92,240,92.300613,14.73,0.0
c3540,120,22.844501,21.44,120,22.844501,21.49,0.0
c6288,96,97.433241,27.9,96,97.433241,24.31,0.0
c7552,463,98.098273,98.53,463,98.098273,92.68,0.0
