Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,62,7.837838,0.68,60,7.837838,0.76,0.03225806451612903
c499,276,90.878661,3.73,276,90.878661,3.78,0.0
c880,209,50.0,4.6,209,50.0,4.65,0.0
c1355,282,38.004402,1.13,276,38.004402,0.95,0.02127659574468085
c2670,564,92.269939,32.25,563,92.269939,32.72,0.0017730496453900709
c3540,297,22.629583,44.48,296,22.629583,35.84,0.003367003367003367
c6288,180,97.185773,107.49,180,97.185773,100.2,0.0
c7552,1087,97.959498,226.68,1070,97.959498,221.29,0.015639374425023
