Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,21,11.621622,0.23,21,11.621622,0.24,0.0
c499,75,93.807531,0.75,75,93.807531,0.78,0.0
c880,49,50.142586,1.01,49,50.142586,1.01,0.0
c1355,69,38.407924,0.69,69,38.407924,0.69,0.0
c2670,130,92.453988,9.0,130,92.453988,9.01,0.0
c3540,65,22.806574,15.43,65,22.806574,15.3,0.0
c6288,59,97.450506,26.86,59,97.450506,26.6,0.0
c7552,264,98.144531,46.83,264,98.144531,53.34,0.0
