Name,Test Length(w/o),Fault Coverage,Runtime,Test Length(w),Fault Coverage(w),Runtime(w),Reduction
c432,73,7.387387,0.76,66,7.387387,0.76,0.0958904109589041
c499,327,90.711297,3.83,327,90.711297,4.06,0.0
c880,241,49.904943,4.27,241,49.904943,4.48,0.0
c1355,316,37.123991,0.88,265,37.123991,1.01,0.16139240506329114
c2670,676,92.177914,38.64,674,92.177914,38.45,0.0029585798816568047
c3540,345,22.427307,47.68,330,22.427307,48.26,0.043478260869565216
c6288,208,97.277855,141.05,208,97.277855,112.99,0.0
c7552,1298,97.954359,293.38,1284,97.954359,311.77,0.01078582434514638
